Date,SPY,QQQ,EFA,EEM,TLT,IEF,GLD,SLV,DBC,USO,UUP,FXE,FXY,BTC-USD,ETH-USD
2005-09-19,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-20,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-21,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-22,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-23,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-26,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-27,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-28,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-29,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-30,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-03,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-04,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-05,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-06,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-07,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-10,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-11,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-12,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-13,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-14,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-17,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-18,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-19,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-20,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-21,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-24,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-25,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-26,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-27,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-28,0.36588721659902473,0.3457338030548213,0.35312534448023325,0.24802772240189336,0.0,0.0,0.3625415206743417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-31,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-02,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-03,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-04,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-07,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-08,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-09,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-10,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-11,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-14,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-15,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-16,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-17,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-18,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-21,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-22,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-23,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-25,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-28,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-29,0.0,0.0,0.3263249671413464,0.0,-0.35188957159818296,-0.35188957159818296,0.3287867950321364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-30,0.35179008689925034,0.3174521556246223,0.33442657494149863,0.19390146972352296,-0.35179008689925034,-0.35179008689925034,0.31146593282425233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.35179008689925034,0.3174521556246223,0.33442657494149863,0.19390146972352296,-0.35179008689925034,-0.35179008689925034,0.31146593282425233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
